train_loss,val_loss
0.9747654170487411,0.9398761526825502
0.9000171551667633,0.85603563892063
0.8068032186564565,0.748099830756892
0.6876963878045658,0.6122209921325605
0.5466405288878934,0.4592668579001607
0.39610844980781673,0.31624876561853077
0.26509944064145224,0.21679715392311005
0.1855298751883764,0.16172052269539064
0.14436712761464646,0.13254238496121673
0.11963807379678466,0.1125703167259898
0.10103697220586566,0.09626236821675219
0.0857429550170592,0.08224891218327984
0.07368706699202177,0.071341274594216
0.06280242017731262,0.06082001954470713
0.05348338135027334,0.052788465971901656
0.046007776474891404,0.044857332348516306
0.03907434499623843,0.038625333112539705
0.033445068565616264,0.033375118311840236
0.028474933977758365,0.02819441135371059
0.02439642927889499,0.02434377149515545
0.020787157235633593,0.020704897619860687
0.017756389375000348,0.01777320153550389
0.014935750914091163,0.01485066240032514
0.012619928349106354,0.012637744548880971
0.010778993479476567,0.010778197020138661
0.009230015806585628,0.009285199182280867
0.008038276565862116,0.00802457705460156
0.006946641793785794,0.0070530527600973746
0.006119388604541441,0.006187844629434683
0.005433954833587751,0.005506392041880548
0.004829364823977101,0.00483459111021454
0.004313595251510624,0.004323895126933239
0.00387472755115259,0.0038727691710712165
0.003512764417812956,0.003497098081287547
0.0031873429045057196,0.003189681629135027
0.00290565511839019,0.0028863907583646757
0.002681320812672875,0.002636123126167868
0.0024688366302564393,0.002405036718478983
0.002236542902745613,0.0021847247168472954
0.002056234320182746,0.002001637363281498
0.0018999819257141002,0.001828429135941993
0.001771902012492705,0.0016899699076395674
0.001629951611702309,0.0015352624304483795
0.0015063465750658918,0.0014366611915950973
0.0014025081199854803,0.0013183252693912417
0.0013058570262695875,0.001214040196868767
0.0012204601240265339,0.001125875289577517
0.0011406435821550134,0.0010545548526458186
0.0010676476998185227,0.0009539816420544515
0.0010083215843866983,0.0008891194999214786
0.0009449195467799921,0.0008228458148104065
0.0008925105460648901,0.0007792980353351158
0.0008416471707785459,0.0007190304061020261
0.0007948137182026508,0.000687449040368225
0.0007761865068684334,0.000636828451815839
0.0007354532282291923,0.0006055452347224214
0.0006877258075832133,0.0005502108449702026
0.0006536797744253109,0.0005156976762715779
0.0006269365004419438,0.0004883105344542293
0.0005926488998799722,0.00044831186919025055
0.0005649715027703658,0.0004248117312550532
0.0005410787199652613,0.00039540215005739706
0.0005191400089626772,0.0003748338940974223
0.0004930635763076074,0.00035335695564257195
0.000477757438156002,0.0003288444799700707
0.00046062205093948694,0.00031234573821306767
0.00044114867053659043,0.00029535211402285987
0.00042766193818279417,0.00028242017085467147
0.0004116683653112894,0.00025739077054791446
0.0004009075586565538,0.00024783192617503473
0.0003884695059587523,0.0002442672407143362
0.00037531230894514723,0.00021649338615037296
0.0003617271226723044,0.00021495090513906195
0.0003518931797394651,0.00020272581890278218
0.0003429541235926123,0.00019083904059238963
0.0003329706992716098,0.00018525674308672598
0.0003289766962057013,0.00016656053391336448
0.0003158083172236117,0.00015844938500173857
0.00031101717191295226,0.00015875612957346255
0.0003022572036243312,0.000143839267163123
0.0002980499486750169,0.00014064462468007266
0.00029402339662207354,0.00013362031663636777
0.0002831689471396579,0.00012563302197563222
0.00028025362697330596,0.00012225685680174682
0.00027337460490608,0.00012249212399108298
0.0002684056633412431,0.00010991172364067216
0.00026622359222444586,0.00010955737247827856
0.00026021505871208283,0.00010090270585738941
0.0002554312037426145,9.519152616409111e-05
0.00025949584623795134,9.472559776662808e-05
0.00025155748228155255,9.036162073337521e-05
0.00024787055580696607,9.033986374486199e-05
0.0002444633980389986,9.180404205048053e-05
0.00024106516555169534,7.965830021949495e-05
0.00023689142610405808,9.19484328792616e-05
0.0002387017179980807,7.909801190299353e-05
0.00023298448815699103,7.343476446822711e-05
0.00023018872805055264,7.081606046145036e-05
0.0002281111642250858,6.706624453508494e-05
0.0002298626311708141,6.830515507992703e-05
0.0002245632906152285,6.186792790398475e-05
0.00022209475900568452,7.072502889296782e-05
0.0002203730929421158,5.9193283122147296e-05
0.0002181472634727325,6.0060866307799264e-05
0.00022073290276571278,5.655926553739708e-05
0.00021450614110124657,5.9966035676808846e-05
0.00021796072667520277,5.34959934069575e-05
0.0002166645978731558,5.8707977524383276e-05
0.00021418798252506837,5.662065989272253e-05
0.00021209699008748495,4.8411967630575724e-05
0.00021199377374555962,4.658304046283602e-05
0.0002050879665122668,5.846877539215555e-05
